# Generated by testdata/harfbuzz/usecategories.py. DO NOT EDIT.
#
# The USE category HarfBuzz's gen-use-table.py derives for each character
# it gives one other than O, from this repository's UCD and ms-use files:
# a range, a space, the category with its position.
# ucd IndicSyllabicCategory-17.0.0.txt
# generator harfbuzz-14.5.0
0F8D..0F97 SUB
0F99..0FBC SUB
0FC6..0FC6 FMBlw
1000..102A B
102B..102C VPst
102D..102E VAbv
102F..1030 VBlw
1031..1031 VPre
1032..1035 VAbv
1036..1036 VMAbv
1037..1037 VMBlw
1038..1038 VMPst
1039..1039 IS
103A..103A VAbv
103B..103B MPst
103C..103C MPre
103D..103E MBlw
103F..1049 B
104B..104B GB
104E..104E GB
1050..1055 B
1056..1057 VPst
1058..1059 VBlw
105A..105D B
105E..1060 MBlw
1061..1061 B
1062..1062 VPst
1063..1064 VMPst
1065..1066 B
1067..1068 VPst
1069..106D VMPst
106E..1070 B
1071..1074 VAbv
1075..1081 B
1082..1082 MBlw
1083..1083 VPst
1084..1084 VPre
1085..1086 VAbv
1087..108C VMPst
108D..108D VMBlw
108E..108E B
108F..108F VMPst
1090..1099 B
109A..109B VMPst
109C..109C VPst
109D..109D VAbv
1700..1711 B
1712..1712 VAbv
1713..1714 VBlw
1715..1715 VPst
171F..1731 B
1732..1732 VAbv
1733..1733 VBlw
1734..1734 VPst
1740..1751 B
1752..1752 VAbv
1753..1753 VBlw
1760..176C B
176E..1770 B
1772..1772 VAbv
1773..1773 VBlw
1780..17B3 B
17B4..17B5 CGJ
17B6..17B6 VPst
17B7..17BA VAbv
17BB..17BD VBlw
17BE..17C5 VPre
17C6..17C6 VMAbv
17C7..17C7 VMPst
17C8..17C8 VPst
17C9..17CA VMAbv
17CB..17CB FMAbv
17CC..17CC FAbv
17CD..17CD CMAbv
17CE..17CE FMAbv
17CF..17CF VMAbv
17D0..17D0 FMAbv
17D1..17D1 VAbv
17D2..17D2 IS
17D3..17D3 FMAbv
17DC..17DC B
17DD..17DD FMAbv
17E0..17E9 B
1800..1800 B
1807..1807 B
180A..180A B
180B..180D CGJ
180E..180E WJ
180F..180F CGJ
1820..1878 B
1880..1884 GB
1885..1886 CMAbv
1887..18A8 B
18A9..18A9 CMBlw
18AA..18AA B
1900..191E B
1920..1921 VAbv
1922..1922 VBlw
1923..1924 VPst
1925..1928 VAbv
1929..192B SUB
1930..1931 FPst
1932..1932 VMBlw
1933..1938 FPst
1939..1939 FBlw
193A..193A VMAbv
193B..193B FMBlw
1946..196D B
1970..1974 B
1980..19AB B
19B0..19C7 B
19C8..19C9 VMPst
19D0..19DA B
1A00..1A16 B
1A17..1A18 VAbv
1A19..1A19 VPre
1A1A..1A1A VPst
1A1B..1A1B VAbv
1A20..1A54 B
1A55..1A55 MPre
1A56..1A56 MBlw
1A57..1A57 SUB
1A58..1A59 FAbv
1A5A..1A5A MAbv
1A5B..1A5E SUB
1A60..1A60 Sk
1A61..1A61 VPst
1A62..1A62 VAbv
1A63..1A64 VPst
1A65..1A68 VAbv
1A69..1A6A VBlw
1A6B..1A6B VAbv
1A6C..1A6C VBlw
1A6D..1A6D VPst
1A6E..1A72 VPre
1A73..1A73 VAbv
1A74..1A79 VMAbv
1A7A..1A7A VAbv
1A7B..1A7C VMAbv
1A7F..1A7F VMBlw
1A80..1A89 B
1A90..1A99 B
1B00..1B02 VMAbv
1B03..1B03 FAbv
1B04..1B04 VMPst
1B05..1B33 B
1B34..1B34 CMAbv
1B35..1B35 VPst
1B36..1B37 VAbv
1B38..1B3B VBlw
1B3C..1B3D VAbv
1B3E..1B41 VPre
1B42..1B43 VAbv
1B44..1B44 H
1B45..1B4C B
1B50..1B59 B
1B6B..1B73 SMAbv
1B80..1B80 VMAbv
1B81..1B81 FAbv
1B82..1B82 VMPst
1B83..1BA0 B
1BA1..1BA3 SUB
1BA4..1BA4 VAbv
1BA5..1BA5 VBlw
1BA6..1BA6 VPre
1BA7..1BA7 VPst
1BA8..1BA9 VAbv
1BAA..1BAA VPst
1BAB..1BAB IS
1BAC..1BAD SUB
1BAE..1BE5 B
1BE6..1BE6 CMAbv
1BE7..1BE7 VPst
1BE8..1BE9 VAbv
1BEA..1BEC VPst
1BED..1BED VAbv
1BEE..1BEE VPst
1BEF..1BEF VAbv
1BF0..1BF1 FAbv
1BF2..1BF3 RK
1C00..1C23 B
1C24..1C25 SUB
1C26..1C26 VPst
1C27..1C29 VPre
1C2A..1C2B VPst
1C2C..1C2C VBlw
1C2D..1C33 FAbv
1C34..1C35 VMPre
1C36..1C36 FMAbv
1C37..1C37 CMBlw
1C40..1C49 B
1C4D..1C4F B
1CD0..1CD2 VMAbv
1CD4..1CD9 VMBlw
1CDA..1CDB VMAbv
1CDC..1CDF VMBlw
1CE0..1CE0 VMAbv
1CE1..1CE1 VMPst
1CE2..1CE8 VMBlw
1CED..1CED VMBlw
1CF4..1CF4 VMAbv
1CF5..1CF6 CS
1CF7..1CF7 VMPst
1CF8..1CF9 VMAbv
1CFA..1CFA GB
1DFB..1DFB FMAbv
200B..200B WJ
200C..200C ZWNJ
200D..200D CGJ
200E..200F WJ
2010..2014 GB
202A..202E WJ
2060..206F WJ
2074..2074 FMPst
2082..2084 FMPst
20F0..20F0 VMAbv
25CC..25CC B
27E6..27E6 SB
27E7..27E7 SE
27E8..27E8 SB
27E9..27E9 SE
2D30..2D67 B
2D6F..2D6F B
2D7F..2D7F H
2E22..2E22 SB
2E23..2E23 SE
2E24..2E24 SB
2E25..2E25 SE
A800..A801 B
A802..A802 VAbv
A803..A805 B
A806..A806 H
A807..A80A B
A80B..A80B VMAbv
A80C..A822 B
A823..A824 VPst
A825..A825 VBlw
A826..A826 VAbv
A827..A827 VPst
A82C..A82C VBlw
A840..A873 B
A880..A881 VMPst
A882..A8B3 B
A8B4..A8B4 MPst
A8B5..A8C3 VPst
A8C4..A8C4 H
A8C5..A8C5 VMAbv
A8D0..A8D9 B
A8E0..A8F1 VMAbv
A8F2..A8F3 B
A8FE..A8FE B
A8FF..A8FF VAbv
A900..A925 B
A926..A92A VAbv
A92B..A92D VMBlw
A930..A946 B
A947..A949 VBlw
A94A..A94A VAbv
A94B..A94E VBlw
A94F..A951 FAbv
A952..A952 FPst
A953..A953 VPst
A980..A981 VMAbv
A982..A982 FAbv
A983..A983 VMPst
A984..A9B2 B
A9B3..A9B3 CMAbv
A9B4..A9B5 VPst
A9B6..A9B7 VAbv
A9B8..A9B9 VBlw
A9BA..A9BB VPre
A9BC..A9BC VAbv
A9BD..A9BD MBlw
A9BE..A9BE MPst
A9BF..A9BF MBlw
A9C0..A9C0 H
A9D0..A9D9 B
A9E0..A9E4 B
A9E5..A9E5 VAbv
A9E7..A9FE B
AA00..AA28 B
AA29..AA29 VMAbv
AA2A..AA2C VAbv
AA2D..AA2D VBlw
AA2E..AA2E VAbv
AA2F..AA30 VPre
AA31..AA31 VAbv
AA32..AA32 VBlw
AA33..AA33 MPst
AA34..AA34 MPre
AA35..AA35 MAbv
AA36..AA36 MBlw
AA40..AA42 B
AA43..AA43 FAbv
AA44..AA4B B
AA4C..AA4C FAbv
AA4D..AA4D FPst
AA50..AA59 B
AA60..AA6F B
AA71..AA73 B
AA74..AA76 GB
AA7A..AA7A B
AA7B..AA7B VMPst
AA7C..AA7C VMAbv
AA7D..AA7D VMPst
AA7E..AAAF B
AAB0..AAB0 VBlw
AAB1..AAB1 B
AAB2..AAB3 VBlw
AAB4..AAB4 VAbv
AAB5..AAB6 B
AAB7..AAB8 VBlw
AAB9..AABD B
AABE..AABE VBlw
AABF..AABF VMAbv
AAC0..AAC0 B
AAC1..AAC1 VMAbv
AAC2..AAC2 B
AAE0..AAEA B
AAEB..AAEB VPre
AAEC..AAEC VBlw
AAED..AAED VAbv
AAEE..AAEE VPre
AAEF..AAEF VPst
AAF5..AAF5 VMPst
AAF6..AAF6 IS
ABC0..ABE2 B
ABE3..ABE4 VPst
ABE5..ABE5 VAbv
ABE6..ABE7 VPst
ABE8..ABE8 VBlw
ABE9..ABEA VPst
ABEC..ABEC VMPst
ABED..ABED VBlw
ABF0..ABF9 B
FE00..FE0F CGJ
FEFF..FEFF WJ
FFF0..FFF8 WJ
10570..1057A B
1057C..1058A B
1058C..10592 B
10594..10595 B
10597..105A1 B
105A3..105B1 B
105B3..105B9 B
105BB..105BC B
10A00..10A00 B
10A01..10A03 VBlw
10A05..10A05 VAbv
10A06..10A06 VBlw
10A0C..10A0C VPst
10A0D..10A0E VMBlw
10A0F..10A0F VMAbv
10A10..10A13 B
10A15..10A17 B
10A19..10A35 B
10A38..10A3A CMBlw
10A3F..10A3F IS
10A40..10A48 B
10AC0..10AC7 B
10AC9..10AE4 B
10AE5..10AE6 CMBlw
10AEB..10AEF B
10B80..10B91 B
10BA9..10BAE B
10D00..10D23 B
10D24..10D26 VMAbv
10D27..10D27 CMAbv
10D30..10D39 B
10D4A..10D65 B
10D69..10D6D VAbv
10D6F..10D85 B
10E80..10EA9 B
10EAB..10EAC VAbv
10EB0..10EB1 B
10F30..10F45 B
10F46..10F50 VMBlw
10F51..10F54 B
10F70..10F81 B
10F82..10F85 CMBlw
10FB0..10FB0 B
10FB2..10FB6 B
10FB8..10FBF B
10FC1..10FC4 B
10FC9..10FCB B
11000..11000 VMPst
11001..11001 VMAbv
11002..11002 VMPst
11003..11004 CS
11005..11037 B
11038..1103B VAbv
1103C..11041 VBlw
11042..11045 VAbv
11046..11046 H
11052..11065 N
11066..1106F B
11070..11070 VAbv
11071..11072 B
11073..11074 VAbv
11075..11075 B
1107F..1107F HN
11080..11081 VMAbv
11082..11082 VMPst
11083..110AF B
110B0..110B0 VPst
110B1..110B1 VPre
110B2..110B2 VPst
110B3..110B4 VBlw
110B5..110B6 VAbv
110B7..110B8 VPst
110B9..110B9 H
110BA..110BA CMBlw
110C2..110C2 VBlw
11100..11102 VMAbv
11103..11126 B
11127..11129 VBlw
1112A..1112B VAbv
1112C..1112C VPre
1112D..1112D VBlw
1112E..1112F VAbv
11130..11130 VBlw
11131..11132 VAbv
11133..11133 IS
11134..11134 CMAbv
11136..1113F B
11144..11144 B
11145..11146 VPst
11147..11147 B
11150..11172 B
11173..11173 CMBlw
11180..11181 VMAbv
11182..11182 VMPst
11183..111B2 B
111B3..111B3 VPst
111B4..111B4 VPre
111B5..111B5 VPst
111B6..111BB VBlw
111BC..111BF VAbv
111C0..111C0 H
111C1..111C1 B
111C2..111C3 R
111C9..111C9 FMBlw
111CA..111CA CMBlw
111CB..111CB VAbv
111CC..111CC VBlw
111CE..111CE VPre
111CF..111CF VMAbv
111D0..111DA B
111E1..111F4 B
11200..11211 B
11213..1122B B
1122C..1122E VPst
1122F..1122F VBlw
11230..11233 VAbv
11234..11234 VMAbv
11235..11235 H
11236..11237 CMAbv
1123E..1123E VMAbv
1123F..11240 B
11241..11241 VBlw
11280..11286 B
11288..11288 B
1128A..1128D B
1128F..1129D B
1129F..112A8 B
112B0..112DE B
112DF..112DF VMAbv
112E0..112E0 VPst
112E1..112E1 VPre
112E2..112E2 VPst
112E3..112E4 VBlw
112E5..112E8 VAbv
112E9..112E9 CMBlw
112EA..112EA VBlw
112F0..112F9 B
11300..11303 VMAbv
11305..1130C B
1130F..11310 B
11313..11328 B
1132A..11330 B
11332..11333 B
11335..11339 B
1133B..1133C CMBlw
1133D..1133D B
1133E..1133F VPst
11340..11340 VAbv
11341..11344 VPst
11347..11348 VPre
1134B..1134C VPre
1134D..1134D H
11357..11357 VPst
1135E..11361 B
11362..11363 VPst
11366..1136C VMAbv
11370..11374 VMAbv
11380..11389 B
1138B..1138B B
1138E..1138E B
11390..113B5 B
113B7..113B7 B
113B8..113B8 VPst
113B9..113BA VAbv
113BB..113C0 VBlw
113C2..113C2 VPre
113C5..113C5 VPre
113C7..113C8 VPre
113C9..113C9 VPst
113CA..113CA VMPst
113CC..113CD VMPst
113CE..113CE VMAbv
113CF..113CF CMBlw
113D0..113D0 IS
113D1..113D1 R
113D2..113D2 CMBlw
113E1..113E1 VMAbv
113E2..113E2 VMBlw
11400..11434 B
11435..11435 VPst
11436..11436 VPre
11437..11437 VPst
11438..1143D VBlw
1143E..1143F VAbv
11440..11441 VPst
11442..11442 H
11443..11444 VMAbv
11445..11445 VMPst
11446..11446 CMBlw
11447..11447 B
11450..11459 B
1145E..1145E FMAbv
1145F..1145F B
11460..11461 CS
11481..114AF B
114B0..114B0 VPst
114B1..114B1 VPre
114B2..114B2 VPst
114B3..114B8 VBlw
114B9..114B9 VPre
114BA..114BA VAbv
114BB..114BC VPre
114BD..114BD VPst
114BE..114BE VPre
114BF..114C1 VMAbv
114C2..114C2 H
114C3..114C3 CMBlw
114C4..114C4 B
114D0..114D9 B
11580..115AE B
115AF..115AF VPst
115B0..115B0 VPre
115B1..115B1 VPst
115B2..115B5 VBlw
115B8..115BB VPre
115BC..115BD VMAbv
115BE..115BE VMPst
115BF..115BF H
115C0..115C0 CMBlw
115D8..115DB B
115DC..115DD VBlw
11600..1162F B
11630..11632 VPst
11633..11638 VBlw
11639..1163A VAbv
1163B..1163C VPst
1163D..1163D VMAbv
1163E..1163E VMPst
1163F..1163F H
11640..11640 VAbv
11650..11659 B
11680..116AA B
116AB..116AB VMAbv
116AC..116AC VMPst
116AD..116AD VAbv
116AE..116AE VPre
116AF..116AF VPst
116B0..116B1 VBlw
116B2..116B5 VAbv
116B6..116B6 H
116B7..116B7 CMBlw
116B8..116B8 B
116C0..116C9 B
116D0..116E3 B
11700..1171A B
1171D..1171D MBlw
1171E..1171E MPre
1171F..1171F MAbv
11720..11721 VPst
11722..11723 VAbv
11724..11725 VBlw
11726..11726 VPre
11727..11727 VAbv
11728..11728 VBlw
11729..1172B VAbv
11730..1173B B
11740..11746 B
11800..1182B B
1182C..1182C VPst
1182D..1182D VPre
1182E..1182E VPst
1182F..11832 VBlw
11833..11836 VAbv
11837..11837 VMAbv
11838..11838 VMPst
11839..11839 H
1183A..1183A CMBlw
11900..11906 B
11909..11909 B
1190C..11913 B
11915..11916 B
11918..1192F B
11930..11934 VPst
11935..11935 VPre
11937..11938 VPre
1193B..1193C VMAbv
1193D..1193D VPst
1193E..1193E IS
1193F..1193F R
11940..11940 MPst
11941..11941 R
11942..11942 MPst
11943..11943 CMBlw
11950..11959 B
119A0..119A7 B
119AA..119D0 B
119D1..119D1 VPst
119D2..119D2 VPre
119D3..119D3 VPst
119D4..119D7 VBlw
119DA..119DB VAbv
119DC..119DD VPst
119DE..119DF VMPst
119E0..119E0 H
119E1..119E1 B
119E4..119E4 VPre
11A00..11A00 B
11A01..11A01 VAbv
11A02..11A03 VBlw
11A04..11A09 VAbv
11A0A..11A0A VBlw
11A0B..11A32 B
11A33..11A33 FMBlw
11A34..11A34 VBlw
11A35..11A38 VMAbv
11A39..11A39 VMPst
11A3A..11A3A CS
11A3B..11A3E SUB
11A3F..11A3F GB
11A45..11A45 GB
11A47..11A47 IS
11A50..11A50 B
11A51..11A51 VAbv
11A52..11A53 VBlw
11A54..11A56 VAbv
