# Generated by testdata/harfbuzz/indiccategories.py. DO NOT EDIT.
#
# The Indic category HarfBuzz's gen-indic-table.py derives for each character
# it gives one other than X, from this repository's UCD: a range, a space,
# the category.
# ucd IndicSyllabicCategory-17.0.0.txt
# generator harfbuzz-14.5.0
1CED..1CED A
1CEE..1CF1 Symbol
1CF2..1CF3 C
1CF4..1CF4 A
1CF5..1CF6 CS
1CF7..1CF9 A
1CFA..1CFA PLACEHOLDER
200C..200C ZWNJ
200D..200D ZWJ
2010..2015 PLACEHOLDER
2022..2022 PLACEHOLDER
2074..2074 SMPst
2082..2084 SMPst
25CC..25CC DOTTEDCIRCLE
25FB..25FE PLACEHOLDER
A8E0..A8F1 A
A8F2..A8F7 Symbol
A8FE..A8FE V
A8FF..A8FF M
A9E0..A9E4 C
A9E5..A9E5 VAbv
A9E7..A9EF C
A9F0..A9F9 PLACEHOLDER
A9FA..A9FE C
AA60..AA6F C
AA71..AA73 C
AA74..AA76 PLACEHOLDER
AA7A..AA7A C
AA7B..AA7B PT
AA7C..AA7D N
AA7E..AA7F C
FE00..FE0F VS
11301..11303 SM
1133B..1133C N
116D0..116E3 PLACEHOLDER
