# Generated by testdata/harfbuzz/shape.py. DO NOT EDIT.
#
# What HarfBuzz produces for each line of corpus.txt, in order: the
# glyph index and advance of each glyph, and its offset where that is
# not zero. Advances and offsets are in font units.
# font-sha256 0bcb88de05a855aec38471d6317e860fa2a40d1c3ca93f2736b7c34ad9288d90
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# language und-x-hbscdflt
# cases 1110
19,977
43,1183 90,0,-1,0
43,1183 92,677
43,1183 93,677
43,1183 94,0,-44,10
43,1183 98,0,-1,0
43,1183 100,376
43,1183 109,238
43,1183 112,391
44,967
44,967 78,413
44,967 79,439
44,967 80,0,-61,10
44,967 84,0,-10,10
44,967 88,0,-1,0
44,967 90,0,-1,0
44,967 92,677
44,967 93,677
44,967 94,0,-58,10
44,967 98,0,-1,0
44,967 100,376
44,967 109,238
44,967 112,391
45,1063
45,1063 78,413
45,1063 79,439
45,1063 80,0,-11,10
45,1063 84,0,40,10
45,1063 88,0,-1,0
45,1063 90,0,-1,0
45,1063 92,677
45,1063 93,677
45,1063 94,0,-8,10
45,1063 98,0,-1,0
45,1063 100,376
45,1063 109,238
45,1063 112,391
46,1027
46,1027 78,413
46,1027 79,439
46,1027 80,0,6,10
46,1027 84,0,57,10
46,1027 88,0,-1,0
46,1027 90,0,-1,0
46,1027 92,677
46,1027 93,677
46,1027 94,0,9,10
46,1027 98,0,-1,0
46,1027 100,376
46,1027 109,238
46,1027 112,391
47,989
47,989 78,413
47,989 79,439
47,989 80,0,-71,10
47,989 84,0,-20,10
47,989 88,0
47,989 90,0
47,989 92,677
47,989 93,677
47,989 94,0,-68,10
47,989 98,0
47,989 100,376
47,989 109,238
47,989 112,391
48,963
48,963 78,413
48,963 79,439
48,963 80,0,-59,10
48,963 84,0,-8,10
48,963 88,0
48,963 90,0
48,963 92,677
48,963 93,677
48,963 94,0,-56,10
48,963 98,0
48,963 100,376
48,963 109,238
48,963 112,391
49,1027
49,1027 78,413
49,1027 79,439
49,1027 80,0,-91,10
49,1027 84,0,-40,10
49,1027 88,0,-2,0
49,1027 90,0,-2,0
49,1027 92,677
49,1027 93,677
49,1027 94,0,-88,10
49,1027 98,0,-2,0
49,1027 100,376
49,1027 109,238
49,1027 112,391
50,1207
50,1207 78,413
50,1207 79,439
50,1207 80,0,-16,10
50,1207 84,0,35,10
50,1207 88,0
50,1207 90,0
50,1207 92,677
50,1207 93,677
50,1207 94,0,-13,10
50,1207 98,0
50,1207 100,376
50,1207 109,238
50,1207 112,391
51,879
51,879 78,413
51,879 79,439
51,879 80,0,-29,10
51,879 84,0,22,10
51,879 88,0,-37,0
51,879 90,0,-37,0
51,879 92,677
51,879 93,677
51,879 94,0,-26,10
51,879 98,0,-37,0
51,879 100,376
51,879 109,238
51,879 112,391
52,970
52,970 78,413
52,970 79,439
52,970 80,0,-62,10
52,970 84,0,-11,10
52,970 88,0,-1,0
52,970 90,0,-1,0
52,970 92,677
52,970 93,677
52,970 94,0,-59,10
52,970 98,0,-1,0
52,970 100,376
52,970 109,238
52,970 112,391
53,1383
53,1383 78,413
53,1383 79,439
53,1383 80,0,-74,10
53,1383 84,0,-23,10
53,1383 88,0,-1,0
53,1383 90,0,-1,0
53,1383 92,677
53,1383 93,677
53,1383 94,0,-71,10
53,1383 98,0,-1,0
53,1383 100,376
53,1383 109,238
53,1383 112,391
54,915
54,915 78,413
54,915 79,439
54,915 80,0,-62,10
54,915 84,0,-11,10
54,915 88,0
54,915 90,0
54,915 92,677
54,915 93,677
54,915 94,0,-59,10
54,915 98,0
54,915 100,376
54,915 109,238
54,915 112,391
55,1293
55,1293 78,413
55,1293 79,439
55,1293 80,0,-239,10
55,1293 84,0,-188,10
55,1293 88,0
55,1293 90,0
55,1293 92,677
55,1293 93,677
55,1293 94,0,-236,10
55,1293 98,0
55,1293 100,376
55,1293 109,238
55,1293 112,391
56,1194
56,1194 78,413
56,1194 79,439
56,1194 80,0,-70,10
56,1194 84,0,-19,10
56,1194 88,0
56,1194 90,0
56,1194 92,677
56,1194 93,677
56,1194 94,0,-67,10
56,1194 98,0
56,1194 100,376
56,1194 109,238
56,1194 112,391
57,967
57,967 78,413
57,967 79,439
57,967 80,0,-61,10
57,967 84,0,-10,10
57,967 88,0,-1,0
57,967 90,0,-1,0
57,967 92,677
57,967 93,677
57,967 94,0,-58,10
57,967 98,0,-1,0
57,967 100,376
57,967 109,238
57,967 112,391
58,938
58,938 78,413
58,938 79,439
58,938 80,0,8,10
58,938 84,0,59,10
58,938 88,0
58,938 90,0
58,938 92,677
58,938 93,677
58,938 94,0,11,10
58,938 98,0
58,938 100,376
58,938 109,238
58,938 112,391
59,1012
59,1012 78,413
59,1012 79,439
59,1012 80,0,-83,10
59,1012 84,0,-32,10
59,1012 88,0,-1,0
59,1012 90,0,-1,0
59,1012 92,677
59,1012 93,677
59,1012 94,0,-80,10
59,1012 98,0,-1,0
59,1012 100,376
59,1012 109,238
59,1012 112,391
60,1088
60,1088 78,413
60,1088 79,439
60,1088 80,0,0,10
60,1088 84,0,51,10
60,1088 88,0
60,1088 90,0
60,1088 92,677
60,1088 93,677
60,1088 94,0,3,10
60,1088 98,0
60,1088 100,376
60,1088 109,238
60,1088 112,391
61,1195
61,1195 78,413
